,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
124,APPROXIMATE,"Gyöngyös, Hungary",ChIJHyM-gg9aQEcRlO10p64IsPE,"Gyöngyös Déli kertváros,Hungary",47.7772651,19.9294927,2,,OK,"locality,political"
125,GEOMETRIC_CENTER,"Nyíregyháza, Búza tér, 4400 Hungary",ChIJX3n-tpafOEcRlQD_xXwKMPQ,"Nyíregyháza Búza tér,Hungary",47.9583354,21.7104966,1,4400,OK,route
126,ROOFTOP,"Eger, Cifrakapu u. 122, 3300 Hungary",ChIJbbHx5b-NQEcRF9o1gY28IOc,"Eger Cifrakapu utca 122.,Hungary",47.917032,20.377503,1,3300,OK,street_address
127,GEOMETRIC_CENTER,"Mosonmagyaróvár, Járfalui utca, 9200 Hungary",ChIJMePXZ_h3bEcRYkWV9ny2BLc,"Mosonmagyaróvár Járfalui utca,Hungary",47.8894959,17.2709802,2,9200,OK,route
128,APPROXIMATE,"Budapest, Rómaifürdő, 1031 Hungary",ChIJlWS7t4_ZQUcRnh5tIzeTS2Y,"3. kerület Rómaifürdő,Hungary",47.5712847,19.0606472,1,1031,OK,"neighborhood,political"
129,GEOMETRIC_CENTER,"Budapest, Angol u., Hungary",ChIJnR7-OWfbQUcRZNWMPr24hDg,"14. kerület Angol utca,Hungary",47.5134589,19.1187133,1,,OK,route
130,GEOMETRIC_CENTER,"Budapest, Irhás árok, Hungary",Eh9CdWRhcGVzdCwgSXJow6FzIMOhcm9rLCBIdW5nYXJ5IkgqRgoUChIJkcLzvULeQUcRx7hgUcfKhHUSFAoSCTVz-brl3kFHEfDVHgwpxAAFGhgKCg1ATkwcFVZQTgsSCg2Tb00cFSAyUQs,"12. kerület Irhás árok,Hungary",47.4812899,18.977995,1,,OK,route
131,GEOMETRIC_CENTER,"Budapest, Szinva u., 1076 Hungary",ChIJz8aDx4fcQUcRX6d58T3dttQ,"7. kerület Szinva utca,Hungary",47.50432259999999,19.0872886,1,1076,OK,route
132,ROOFTOP,"Budapest, Bimbó út 11, 1022 Hungary",ChIJqzfjDKjeQUcRXoU0XnOxoVk,"2. kerület Bimbó út 11.,Hungary",47.51339,19.029967,1,1022,OK,street_address
133,GEOMETRIC_CENTER,"Szeged, Csongrádi sgrt., Hungary",ChIJybvRgP2HREcRAQkMnP8EtBE,"Szeged Csongrádi sugárút,Hungary",46.270346,20.148451,1,,OK,route
134,APPROXIMATE,"Győr, Hungary",ChIJNaB-QIe_a0cR4BEeDCnEAAQ,"Győr Rózsaliget Társasház,Hungary",47.6874569,17.6503974,1,,OK,"locality,political"
135,GEOMETRIC_CENTER,"Székesfehérvár, Toronysor, 8000 Hungary",ChIJjYs-RAj3aUcRyVuS2c4fe9A,"Székesfehérvár Toronysor,Hungary",47.1803815,18.4111226,1,8000,OK,route
136,GEOMETRIC_CENTER,"Miskolc, Attila u., 3525 Hungary",ChIJWcdUYeGfQEcRHO2-5BiVHvs,"Miskolc Attila utca,Hungary",48.108489,20.776481,2,3525,OK,route
137,GEOMETRIC_CENTER,"Budapest, Fő út, Hungary",ChIJrznrOFzaQUcRP-zvDSbxA78,"15. kerület Fő út,Hungary",47.564211,19.1180597,1,,OK,route
138,GEOMETRIC_CENTER,"Oroszlány, Rákóczi Ferenc út, 2840 Hungary",ChIJU6Wn0q0-akcR8BjeIShZ4v8,"Oroszlány Rákóczi Ferenc út,Hungary",47.4884473,18.315941,1,2840,OK,route
139,GEOMETRIC_CENTER,"Pécs, Maléter Pál út, 7632 Hungary",ChIJG_8HBs-zQkcRZfQntb0p0mQ,"Pécs Maléter Pál út,Hungary",46.043822,18.224006,1,7632,OK,route
140,APPROXIMATE,"Hódmezővásárhely, Hungary",ChIJmVr0lrdoREcRkBIeDCnEAAQ,"Hódmezővásárhely Csongrád megye,Hungary",46.4181262,20.3300315,1,,OK,"locality,political"
141,GEOMETRIC_CENTER,"Győr, Répce u., 9024 Hungary",ChIJh8m5jHTAa0cRgIrNNcvIXWI,"Győr Répce utca,Hungary",47.6670482,17.6404605,1,9024,OK,route
142,GEOMETRIC_CENTER,"Eger, Dr. Frank Mária utca, 3300 Hungary",ChIJi0kICbiNQEcRORiDlFb5Dx0,"Eger Dr. Frank Mária utca,Hungary",47.9195865,20.3664292,1,3300,OK,route
143,APPROXIMATE,"Győr, Sziget, 9025 Hungary",ChIJ_QKct1iVa0cRNnbbOfEezU0,"Győr Sziget,Hungary",47.6889389,17.620282,1,9025,OK,"political,sublocality,sublocality_level_1"
144,APPROXIMATE,"Komárom, Hungary",ChIJdSzwQy9NakcRIBkeDCnEAAQ,"Komárom Komárom-Esztergom megye,Hungary",47.7390852,18.1267006,1,,OK,"locality,political"
145,GEOMETRIC_CENTER,"Budapest, Diana u., Hungary",ChIJBWKOG5LeQUcR72ITfmNsxo0,"12. kerület Diana utca,Hungary",47.5002013,18.9986128,1,,OK,route
146,APPROXIMATE,"Kecskemét, Alsószéktó, 6000 Hungary",ChIJuUF-Sn_aQ0cRhTSGAqgEEe4,"Kecskemét Alsószéktó,Hungary",46.8911179,19.660194,1,6000,OK,"political,sublocality,sublocality_level_1"
147,APPROXIMATE,"Siófok, Balatonszéplak, 8609 Hungary",ChIJSyLat0m_aUcRio0RKi6R3N8,"Siófok Balatonszéplak,Hungary",46.8988879,18.0082999,1,8609,OK,"political,sublocality,sublocality_level_1"
148,GEOMETRIC_CENTER,"Fót, Szent Benedek park, 2151 Hungary",ChIJTclCUTXQQUcRZ4seSAqT7hc,"Fót Szent Benedek park,Hungary",47.6167981,19.1935628,1,2151,OK,route
149,GEOMETRIC_CENTER,"Szeged, Béke u., 6722 Hungary",ChIJv7j7L3eIREcRNfvwt0q4Qik,"Szeged Béke utca,Hungary",46.2503275,20.140256,1,6722,OK,route
150,GEOMETRIC_CENTER,"Budapest, Lotz Károly u., Hungary",ChIJ1QNbHcbeQUcRkDwG3c-mRpM,"2. kerület Lotz Károly utca,Hungary",47.5174619,18.9976063,1,,OK,route
151,GEOMETRIC_CENTER,"Szeged, Csuka u., 6723 Hungary",ChIJ81qYEA-IREcR_uW3wPIYHs8,"Szeged Csuka utca,Hungary",46.264432,20.1537085,1,6723,OK,route
152,ROOFTOP,"Budapest, Gergely u. 128, 1103 Hungary",ChIJc2m7yBvDQUcReH8-8WsA9Wg,"10. kerület Gergely utca 128.,Hungary",47.4654393,19.1612935,1,1103,OK,street_address
153,APPROXIMATE,"Dunaújváros, Római városrész, 2400 Hungary",ChIJxRFavmIXQkcRm0NYoKrGPdY,"Dunaújváros Római városrész,Hungary",46.9714929,18.935527,1,2400,OK,"political,sublocality,sublocality_level_1"
154,GEOMETRIC_CENTER,"Miskolc, Csabavezér út, Hungary",ChIJJZ0RXS6gQEcRM_Vv4mqplyo,"Miskolc Csaba vezér út,Hungary",48.0744372,20.786836,1,,OK,route
155,GEOMETRIC_CENTER,"Pécs, Tildy Zoltán u., 7632 Hungary",ChIJ_V-aC7izQkcR8aV8-gpgkf8,"Pécs Tildy Zoltán utca,Hungary",46.0357609,18.2228936,1,7632,OK,route
156,APPROXIMATE,"Debrecen, Széchenyikert, 4031 Hungary",ChIJ4SAVtxEOR0cRR9Io_j83xPw,"Debrecen Széchenyikert,Hungary",47.5262999,21.6111899,1,4031,OK,"political,sublocality,sublocality_level_1"
157,GEOMETRIC_CENTER,"Mezőberény, Fő út, 5650 Hungary",ChIJwWu6lK-cRkcRRO7ncfpJqSw,"Mezőberény Fő út,Hungary",46.8261846,21.0291718,1,5650,OK,route
158,ROOFTOP,"Velence, Mandula utca 19, 2481 Hungary",ChIJYaqbVPcAakcRZL_Qm_uKWDM,"Velence Mandula utca 19.,Hungary",47.22394999999999,18.671766,1,2481,OK,street_address
159,GEOMETRIC_CENTER,"Szeged, Csorba u., 6723 Hungary",ChIJFc_PpwKIREcRciMR8pvtziM,"Szeged Csorba utca,Hungary",46.2738193,20.1650546,1,6723,OK,route
160,GEOMETRIC_CENTER,"Budapest, Bihari u., 1107 Hungary",ChIJxb3pbtLcQUcRmUdyZnFED8g,"10. kerület Bihari utca,Hungary",47.4759115,19.1190816,1,1107,OK,route
161,GEOMETRIC_CENTER,"Velence, Panoráma út, 2481 Hungary",ChIJvUyrc10BakcR3444uGE_3p0,"Velence Bencehegy,Hungary",47.2484642,18.624708,1,2481,OK,"establishment,point_of_interest"
162,APPROXIMATE,"Gyöngyös, Hungary",ChIJHyM-gg9aQEcRlO10p64IsPE,"Gyöngyös Heves megye,Hungary",47.7772651,19.9294927,1,,OK,"locality,political"
163,GEOMETRIC_CENTER,"Szeged, Lugas u., Hungary",ChIJjf4WORmIREcR8waBwQgFApM,"Szeged Lugas utca,Hungary",46.2668663,20.1700835,1,,OK,route
164,ROOFTOP,"Salgótarján, Alkotmány út 1, 3100 Hungary",ChIJkXrK_MkSQEcROXE_L0Azc_g,"Salgótarján Alkotmány út 1.,Hungary",48.1045622,19.8033386,1,3100,OK,street_address
165,ROOFTOP,"Debrecen, Dózsa György u. 21, 4027 Hungary",ChIJHeYmKuMNR0cR8nsEbgtSQ5w,"Debrecen Dózsa György utca 21.,Hungary",47.53946380000001,21.6175056,1,4027,OK,street_address
166,APPROXIMATE,"Siófok, Hungary",ChIJT1Kf0cHAaUcR2Gg3XN_QZrA,"Siófok Somogy megye,Hungary",46.9090603,18.0746239,1,,OK,"locality,political"
167,GEOMETRIC_CENTER,"Budapest, Nyáry Pál u., Hungary",ChIJ60xgQ7bCQUcRNLummoQGfmk,"20. kerület Nyáry Pál utca,Hungary",47.4458732,19.1132387,1,,OK,route
168,ROOFTOP,"Pécs, Kis-Réti út 3, 7636 Hungary",ChIJoWHQQLGzQkcRxd0F9slCsyg,"Pécs Kisréti út 3.,Hungary",46.0324584,18.2137525,1,7636,OK,street_address
169,GEOMETRIC_CENTER,"Budapest, Szövőszék u., 1108 Hungary",ChIJVfdY7RDDQUcRtB-US_aWelQ,"10. kerület Szövőszék utca,Hungary",47.47142299999999,19.1614855,1,1108,OK,route
170,GEOMETRIC_CENTER,"Sopron, Füredi Oszkár stny., 9400 Hungary",ChIJMwtDhaQ8bEcRKkLKpQXnwz8,"Sopron Füredi sétány,Hungary",47.68354170000001,16.5937606,1,9400,OK,route
171,GEOMETRIC_CENTER,"Szigetszentmiklós, Szivárvány u., 2310 Hungary",ChIJp5tv5eLlQUcR8JT3UqO9RE0,"Szigetszentmiklós Szivárvány utca,Hungary",47.3596349,19.0255498,1,2310,OK,route
172,GEOMETRIC_CENTER,"Debrecen, Burgundia u., 4024 Hungary",ChIJZ62QUXQOR0cRF9FV-72O2gI,"Debrecen Burgundia,Hungary",47.531279,21.6310343,1,4024,OK,route
173,ROOFTOP,"Sopron, Várkerület 35, 9400 Hungary",ChIJ01WEyaM8bEcRuRJQGsBRScs,"Sopron Belváros,Hungary",47.687167,16.59298,1,9400,OK,"establishment,lodging,point_of_interest"
