,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
1778,GEOMETRIC_CENTER,"Szentendre, Ősz u., 2000 Hungary",ChIJnT39T3rWQUcRQlWiyn2tWPs,"Szentendre Ősz utca,Hungary",47.6722512,19.0703028,1,2000,OK,route
1779,ROOFTOP,"Miskolc, Lorántffy Zsuzsanna utca 32, 3533 Hungary",ChIJnytCd1CeQEcRkfKFNGkwaYY,"Miskolc Lorántffy Zsuzsanna utca 32.,Hungary",48.091582,20.711047,1,3533,OK,street_address
1780,APPROXIMATE,"Budapest, Újpéteritelep, 1188 Hungary",ChIJAUGSE_npQUcRhTIONxh1oTA,"18. kerület Újpéteritelep,Hungary",47.4063706,19.1907907,1,1188,OK,"neighborhood,political"
1781,GEOMETRIC_CENTER,"Pécs, Ajtósi Dürer u., 7633 Hungary",ChIJRcDZyI2xQkcR0PtwK1Of0G8,"Pécs Ajtósi Dürer utca,Hungary",46.0673746,18.2055684,1,7633,OK,route
1782,GEOMETRIC_CENTER,"Budapest, Őrlő u., 1031 Hungary",ChIJE3yD1prZQUcReHSJtcxal2A,"3. kerület Őrlő utca,Hungary",47.5676625,19.0542964,1,1031,OK,route
1783,GEOMETRIC_CENTER,"Budapest, Kapás u., Hungary",,"2. kerület Kapás utca,Hungary",47.5091131,19.033551,1,,OK,route
1784,ROOFTOP,"Mosonmagyaróvár, Vízpart u. 6, 9200 Hungary",ChIJ64U3AeF3bEcRK8X53EcEvi8,"Mosonmagyaróvár Lajta lakópark,Hungary",47.8745875,17.2706151,1,9200,OK,"establishment,food,lodging,point_of_interest"
1785,GEOMETRIC_CENTER,"Szeged, Felhő u., Hungary",ChIJkWmWtneIREcRCZik9EK_Cog,"Szeged Felhő utca,Hungary",46.2511168,20.1368122,1,,OK,route
1786,GEOMETRIC_CENTER,"Pécs, Jókai u., Hungary",ChIJZXaciJ6xQkcRUvJbcaXjm1k,"Pécs Jókai utca,Hungary",46.0712505,18.2269184,1,,OK,route
1787,GEOMETRIC_CENTER,"Tatabánya, Komáromi u., 2800 Hungary",ChIJIWp9fidBakcR30aXm9_1c7s,"Tatabánya Komáromi utca,Hungary",47.5901465,18.395013,1,2800,OK,route
1788,GEOMETRIC_CENTER,"Kecskemét, Vacsi köz, 6000 Hungary",ChIJ_WJ2jv7ZQ0cR8t0A01Y2qkY,"Kecskemét Vacsi köz,Hungary",46.9258087,19.6881592,1,6000,OK,route
1789,APPROXIMATE,"Szombathely, Hungary",ChIJYYrqGUi4bkcRYBIeDCnEAAQ,"Szombathely Parkerdő lakókert,Hungary",47.2306851,16.6218441,1,,OK,"locality,political"
1790,GEOMETRIC_CENTER,"Budapest, Anna u., 1221 Hungary",ChIJmfHMgoLnQUcRl0NfbthnXg4,"22. kerület Anna utca,Hungary",47.433028,19.035711,1,1221,OK,route
1791,GEOMETRIC_CENTER,"Pécs, Mezőszél u., 7623 Hungary",ChIJD12BXJGxQkcRzi-aCOZBj-M,"Pécs Mezőszél utca,Hungary",46.0723573,18.2109839,1,7623,OK,route
1792,ROOFTOP,"Eger, Kertész u. 164, 3300 Hungary",ChIJsUOyeoGSQEcRfCLDiCmA2hA,"Eger Kertész utca 164.,Hungary",47.889809,20.3935631,1,3300,OK,street_address
1793,GEOMETRIC_CENTER,"Szentendre, Sztaravodai út, 2000 Hungary",ChIJg8g4wt_VQUcR2bYRYPWiw-M,"Szentendre Sztaravodai út,Hungary",47.6829083,19.0620109,1,2000,OK,route
1794,GEOMETRIC_CENTER,"Pécs, Király u., Hungary",ChIJhbinhqCxQkcRISuGmfiBY2E,"Pécs Király utca,Hungary",46.0770776,18.2339707,1,,OK,route
1795,GEOMETRIC_CENTER,"Budapest, Lublói u., 1023 Hungary",ChIJzzOm71PZQUcRImkRoAwnwOE,"2. kerület Lublói utca,Hungary",47.5269674,19.0323968,1,1023,OK,route
1796,GEOMETRIC_CENTER,"Balatonfüred, Nádor u., 8230 Hungary",ChIJXagj-Q29aUcR4i-E_cNStLs,"Balatonfüred Nádor utca,Hungary",46.9617013,17.8895326,1,8230,OK,route
1797,GEOMETRIC_CENTER,"Mosonmagyaróvár, Szekeres Richárd u., 9200 Hungary",ChIJlRUqbe93bEcRYRQszoS4MwQ,"Mosonmagyaróvár Szekeres Richárd utca,Hungary",47.879624,17.2614454,1,9200,OK,route
1798,ROOFTOP,"Miskolc, Dessewffy Arisztid u. 8, 3529 Hungary",ChIJf6dLnPOfQEcRIGglc7_l6UI,"Miskolc Dessewffy Arisztid utca 8.,Hungary",48.093474,20.780684,1,3529,OK,street_address
1799,ROOFTOP,"Zamárdi, Rózsa u. 58, 8621 Hungary",ChIJ15jaGTK_aUcRcqz2cqfqyxg,"Zamárdi Rózsa utca 58/b,Hungary",46.893477,17.990406,1,8621,OK,street_address
1800,ROOFTOP,"Kaposvár, Dózsa György u. 1, 7400 Hungary",ChIJu7kosv0VaEcRvSdBA3sclrs,"Kaposvár Dózsa György utca 1.,Hungary",46.3562729,17.7944634,1,7400,OK,street_address
1801,GEOMETRIC_CENTER,"Balatonfüred, Társasház u., 8230 Hungary",ChIJ7cwaDAy9aUcRMi_APcBru1Q,"Balatonfüred Társasház utca,Hungary",46.9607074,17.8958154,1,8230,OK,route
1802,GEOMETRIC_CENTER,"Bicske, Akácfa u., 2060 Hungary",ChIJEyA425ASakcRCGaOVJCKRmU,"Bicske Akácfa utca,Hungary",47.48136479999999,18.6364705,1,2060,OK,route
1803,ROOFTOP,"Siófok, Beszédes József stny. 69, 8600 Hungary",ChIJzbhvZ1zAaUcRJ-YSyKnj3DQ,"Siófok Beszédes József sétány 69/a,Hungary",46.9210715,18.0839357,1,8600,OK,street_address
1804,GEOMETRIC_CENTER,"Budapest, Lovassy László u., 1084 Hungary",ChIJk9cdl_XcQUcRjQs5fRJ3L1k,"8. kerület Lovassy László utca,Hungary",47.4913035,19.0773314,1,1084,OK,route
1805,ROOFTOP,"Szeged, Berlini krt. 6, 6721 Hungary",ChIJF1aBAwyIREcRM3Dv6nJqvXg,"Szeged Berlini körút 6.,Hungary",46.26113669999999,20.1499836,1,6721,OK,street_address
1806,GEOMETRIC_CENTER,"Kecskemét, Széchenyi krt., 6000 Hungary",ChIJOW91kw_aQ0cRzGQmNnTNktk,"Kecskemét Széchenyi körút,Hungary",46.9110676,19.6856466,1,6000,OK,route
1807,GEOMETRIC_CENTER,"Hévíz, Honvéd u., 8380 Hungary",ChIJCX5in-8daUcR9hGhE8BZ2jw,"Hévíz Honvéd utca,Hungary",46.7890033,17.1860051,1,8380,OK,route
1808,ROOFTOP,"Szeged, Mars tér 1, 6724 Hungary",ChIJZZ0DMHWIREcROesPZcBf_Vs,"Szeged Mars tér 1-3,Hungary",46.257436,20.142022,1,6724,OK,street_address
1809,GEOMETRIC_CENTER,"Keszthely, Vaszary Kolos u., 8360 Hungary",ChIJ1yUJ4pviaEcRNch4FzS0USo,"Keszthely Vaszary Kolos utca,Hungary",46.763661,17.232213,1,8360,OK,route
1810,ROOFTOP,"Győr, Ady Endre u. 1, 9026 Hungary",ChIJ0d3ATue_a0cRGdk1olqCAtM,"Győr Ady Endre utca 1/B,Hungary",47.6919115,17.6316394,1,9026,OK,street_address
1811,ROOFTOP,"Békéscsaba, Kazinczy ltp. 18, 5600 Hungary",ChIJl4CsZ5IrREcR04Oh5yq5JNs,"Békéscsaba Kazinczy lakótelep 18.,Hungary",46.674103,21.0814977,1,5600,OK,street_address
1812,ROOFTOP,"Siófok, Szent László u. 187, 8600 Hungary",ChIJW-cgKkrAaUcRUJStggmjDig,"Siófok Szent László utca 187.,Hungary",46.9267622,18.098495,1,8600,OK,street_address
1813,ROOFTOP,"Pécs, Irgalmasok utcája 24, 7621 Hungary",ChIJy7CJpp-xQkcR3SCwBsi35Yg,"Pécs Irgalmasok utcája 24.,Hungary",46.0734953,18.229118,1,7621,OK,street_address
1814,ROOFTOP,"Kaposvár, Berzsenyi u. 44, 7400 Hungary",ChIJf2umG_cVaEcRqN9RlYYuzIk,"Kaposvár Berzsenyi utca 44.,Hungary",46.361551,17.7839209,1,7400,OK,street_address
1815,ROOFTOP,"Győr, Szent Imre út 18, 9024 Hungary",ChIJ4R16Aou_a0cR25Wle7een_s,"Győr Szent Imre út 18.,Hungary",47.6731121,17.6438488,1,9024,OK,street_address
1816,ROOFTOP,"Szeged, Vedres u. 8, 6726 Hungary",ChIJa2ZARWiIREcReQDBn_Qm5BM,"Szeged Vedres utca 8.,Hungary",46.2469134,20.1581679,1,6726,OK,street_address
1817,GEOMETRIC_CENTER,"Debrecen, Géresi u., 4028 Hungary",ChIJezzGO-8NR0cRlu9iupuOfX0,"Debrecen Géresi utca,Hungary",47.54638509999999,21.6289989,1,4028,OK,route
1818,GEOMETRIC_CENTER,"Székesfehérvár, Móricz Zsigmond u., 8000 Hungary",ChIJrbHSu7n3aUcRCPzM4fWI1I8,"Székesfehérvár Móricz Zsigmond utca,Hungary",47.19700719999999,18.4217595,1,8000,OK,route
1819,GEOMETRIC_CENTER,"Sopron, Várfal u., 9400 Hungary",ChIJZ6EtpqA8bEcRqinSEaV-YFs,"Sopron Várfal utca,Hungary",47.6865901,16.584421,1,9400,OK,route
1820,GEOMETRIC_CENTER,"Kecskemét, Perc utca, 6000 Hungary",ChIJZ4q1JhbaQ0cRB7wE4iyc208,"Kecskemét Perc utca,Hungary",46.90616,19.6983289,1,6000,OK,route
1821,ROOFTOP,"Zamárdi, Tulipán u. 7, 8621 Hungary",ChIJPaw9gDK_aUcRWJN2P-MVeNQ,"Zamárdi Tulipán utca 7.,Hungary",46.89188,17.9879309,1,8621,OK,street_address
1822,ROOFTOP,"Siófok, Beszédes József stny. 30, 8600 Hungary",ChIJAxqKUGDAaUcRac0OioHMCNg,"Siófok Beszédes József sétány 30.,Hungary",46.9176118,18.0733355,1,8600,OK,street_address
1823,ROOFTOP,"Szeged, Budapesti krt. 12c, 6723 Hungary",ChIJGQfWjhyIREcROahFmxwvg_4,"Szeged Budapesti körút 12/C,Hungary",46.2693855,20.1658962,1,6723,OK,street_address
1824,GEOMETRIC_CENTER,"Miskolc, Miskolctapolcai út, Hungary",ChIJ1YZvTn-fQEcR1b7NYXVyj9w,"Miskolc Miskolctapolcai út,Hungary",48.0735194,20.7625067,1,,OK,route
1825,GEOMETRIC_CENTER,"Pécs, Bocskai u., 7629 Hungary",ChIJA6umJeSwQkcR4kECVUXEUsg,"Pécs Bocskai utca,Hungary",46.0952093,18.2667415,1,7629,OK,route
1826,ROOFTOP,"Balatonkenese, Balatoni út 57, 8174 Hungary",ChIJYXEScFeTaUcRGwv2MFp3slI,"Balatonkenese Balatoni út 57.,Hungary",47.0332054,18.1100367,1,8174,OK,street_address
1827,ROOFTOP,"Siófok, Köztársaság u. 9, 8600 Hungary",ChIJsTBBBYXAaUcRtoFuP2NVDfM,"Siófok Köztársaság utca 9.,Hungary",46.9106222,18.0546216,1,8600,OK,street_address
1828,ROOFTOP,"Kecskemét, Hajdú u. 2, 6000 Hungary",ChIJJ5kbxxnaQ0cREcBMdka9bS0,"Kecskemét Frangepán sétány,Hungary",46.91099699999999,19.697226,1,6000,OK,"establishment,point_of_interest"
1829,ROOFTOP,"Ózd, Bolyki főút 26, 3600 Hungary",ChIJYyneEEmHP0cR9CFyLFp-Bts,"Ózd Bolyki főút 26.,Hungary",48.225702,20.2590701,1,3600,OK,street_address
1830,GEOMETRIC_CENTER,"Szeged, Bem u., 6725 Hungary",ChIJU7_MsmKIREcRnApfNaruWG4,"Szeged Bem utca,Hungary",46.2392918,20.1406058,1,6725,OK,route
1831,GEOMETRIC_CENTER,"Pécs, Losonc u., 7625 Hungary",ChIJH8vsSgixQkcRdlKC74YkBho,"Pécs Losonc utca,Hungary",46.0806154,18.2396152,1,7625,OK,route
1832,GEOMETRIC_CENTER,"Pécs, Nagyszkókó köz, 7635 Hungary",ChIJl_8woMixQkcRI9QnnvgAPKE,"Pécs Nagyszkókó köz,Hungary",46.0886135,18.2085589,1,7635,OK,route
1833,ROOFTOP,"Debrecen, Mácsai Sándor u. 8, 4025 Hungary",ChIJT4vlaw0OR0cRIn2UIxC6ZGA,"Debrecen Mácsai Sándor utca 8.,Hungary",47.5266999,21.6207371,1,4025,OK,street_address
1834,GEOMETRIC_CENTER,"Nyíregyháza, Sóstói út, 4400 Hungary",ChIJTS2th2afOEcR2B-vuLGp2fw,"Nyíregyháza Sóstói út,Hungary",47.9868204,21.7204911,1,4400,OK,route
1835,GEOMETRIC_CENTER,"Szeged, Bérkert u., 6726 Hungary",ChIJw8UQzkiIREcRQdpQLlCbc6E,"Szeged Bérkert utca,Hungary",46.2472174,20.1782773,1,6726,OK,route
1836,GEOMETRIC_CENTER,"Sopron, Csányi u., 9400 Hungary",ChIJF4933Mc8bEcRLBPh6pGdXqs,"Sopron Csányi utca,Hungary",47.6776933,16.6095939,1,9400,OK,route
